word1,word2,label,bert_pred,dual_pred,edit_distance,edit_distance_norm,char_jaccard,len_diff,bert_correct,dual_correct,category,ed_bin,jaccard_bin,len_diff_bin
arrampicatore,rocciatore,0,0,0,6,0.46153846153846156,0.7777777777777778,3,True,True,both,"(0.4,0.6]","(0.6,0.8]",3-5
arrotondato,rotondo,0,0,0,4,0.36363636363636365,0.8333333333333334,4,True,True,both,"(0.2,0.4]","(0.8,1.0]",3-5
artificiale,naturale,1,0,1,7,0.6363636363636364,0.5,3,False,True,dual_only,"(0.6,0.8]","(0.4,0.6]",3-5
assolutista,assolutistico,0,1,1,3,0.23076923076923078,0.875,2,False,False,neither,"(0.2,0.4]","(0.8,1.0]",2
attendibile,inattendibile,1,1,1,2,0.15384615384615385,1.0,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
attività,inattività,1,1,1,2,0.2,0.8333333333333334,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
austero,giocoso,1,0,0,6,0.8571428571428571,0.2,0,False,False,neither,"(0.8,1.0]","(0,0.2]",0
avanti,prima,0,0,0,6,1.0,0.25,1,True,True,both,"(0.8,1.0]","(0.2,0.4]",1
bacchettone,santocchio,0,0,0,9,0.8181818181818182,0.6,1,True,True,both,"(0.8,1.0]","(0.4,0.6]",1
balaustra,balaustrata,0,0,0,2,0.18181818181818182,1.0,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
balzo,grotto,0,0,0,5,0.8333333333333334,0.125,1,True,True,both,"(0.8,1.0]","(0,0.2]",1
bisnipote,pronipote,0,0,0,3,0.3333333333333333,0.6666666666666666,0,True,True,both,"(0.2,0.4]","(0.6,0.8]",0
bis,irbis,1,0,0,2,0.4,0.75,2,False,False,neither,"(0.2,0.4]","(0.6,0.8]",2
bosco,gualdo,0,0,0,5,0.8333333333333334,0.1111111111111111,1,True,True,both,"(0.8,1.0]","(0,0.2]",1
brevemente,succintamente,0,1,0,8,0.6153846153846154,0.3333333333333333,3,False,True,dual_only,"(0.6,0.8]","(0.2,0.4]",3-5
brodaglia,pappa,0,0,0,7,0.7777777777777778,0.1111111111111111,4,True,True,both,"(0.6,0.8]","(0,0.2]",3-5
bucare,imbucare,1,1,0,2,0.25,0.75,2,True,False,bert_only,"(0.2,0.4]","(0.6,0.8]",2
bugiardo,contaballe,0,0,0,9,0.9,0.23076923076923078,2,True,True,both,"(0.8,1.0]","(0.2,0.4]",2
bugiardo,menzognero,0,0,0,8,0.8,0.25,2,True,True,both,"(0.6,0.8]","(0.2,0.4]",2
caduco,immortale,1,0,1,9,1.0,0.18181818181818182,3,False,True,dual_only,"(0.8,1.0]","(0,0.2]",3-5
caldo,freddo,1,1,1,4,0.6666666666666666,0.25,1,True,True,both,"(0.6,0.8]","(0.2,0.4]",1
catecolo,pirocatecolo,0,0,0,4,0.3333333333333333,0.6666666666666666,4,True,True,both,"(0.2,0.4]","(0.6,0.8]",3-5
catramare,incatramare,1,0,0,2,0.18181818181818182,0.75,2,False,False,neither,"(0,0.2]","(0.6,0.8]",2
cauto,circospetto,0,0,0,8,0.7272727272727273,0.3,6,True,True,both,"(0.6,0.8]","(0.2,0.4]",6+
cavo,incavo,1,1,1,2,0.3333333333333333,0.6666666666666666,2,True,True,both,"(0.2,0.4]","(0.6,0.8]",2
celeste,divino,0,0,0,7,1.0,0.0,1,True,True,both,"(0.8,1.0]",0,1
centralizzazione,decentralizzazione,1,1,1,2,0.1111111111111111,0.9090909090909091,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
cetra,citara,0,0,0,2,0.3333333333333333,0.6666666666666666,1,True,True,both,"(0.2,0.4]","(0.6,0.8]",1
chiarimento,spiegazione,0,0,0,9,0.8181818181818182,0.35714285714285715,0,True,True,both,"(0.8,1.0]","(0.2,0.4]",0
coattivo,forzato,0,1,1,6,0.75,0.3333333333333333,1,False,False,neither,"(0.6,0.8]","(0.2,0.4]",1
comprendibile,incomprendibile,1,1,1,2,0.13333333333333333,1.0,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
congelabile,incongelabile,1,1,1,2,0.15384615384615385,1.0,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
congiuntura,congiunzione,0,1,1,5,0.4166666666666667,0.5454545454545454,1,False,False,neither,"(0.4,0.6]","(0.4,0.6]",1
contoide,vocoide,1,0,0,3,0.375,0.625,1,False,False,neither,"(0.2,0.4]","(0.6,0.8]",1
controllabilità,incontrollabilità,1,1,1,2,0.11764705882352941,1.0,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
controllo,freno,0,1,0,7,0.7777777777777778,0.375,4,False,True,dual_only,"(0.6,0.8]","(0.2,0.4]",3-5
controparte,parte,1,1,0,6,0.5454545454545454,0.625,6,True,False,bert_only,"(0.4,0.6]","(0.6,0.8]",6+
convertibile,inconvertibile,1,1,1,2,0.14285714285714285,1.0,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
coronare,incoronare,1,0,0,2,0.2,0.8571428571428571,2,False,False,neither,"(0,0.2]","(0.8,1.0]",2
corrotto,incorrotto,1,1,0,2,0.2,0.6666666666666666,2,True,False,bert_only,"(0,0.2]","(0.6,0.8]",2
coscienza,incoscienza,1,1,1,2,0.18181818181818182,1.0,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
cosmodromo,spazioporto,0,0,0,9,0.8181818181818182,0.2727272727272727,1,True,True,both,"(0.8,1.0]","(0.2,0.4]",1
costo,prezzo,0,1,0,5,0.8333333333333334,0.125,1,False,True,dual_only,"(0.8,1.0]","(0,0.2]",1
criminalizzare,decriminalizzare,1,1,1,2,0.125,0.9,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
dadaismo,karakiri,0,0,0,6,0.75,0.25,0,True,True,both,"(0.6,0.8]","(0.2,0.4]",0
databile,indatabile,1,1,0,2,0.2,0.875,2,True,False,bert_only,"(0,0.2]","(0.8,1.0]",2
davvero,infatti,0,1,0,7,1.0,0.1,0,False,True,dual_only,"(0.8,1.0]","(0,0.2]",0
delocalizzare,rilocalizzare,1,1,1,2,0.15384615384615385,0.8888888888888888,0,True,True,both,"(0,0.2]","(0.8,1.0]",0
depigmentato,pigmentato,1,1,1,2,0.16666666666666666,0.9,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
deroga,derogazione,0,1,1,5,0.45454545454545453,0.6666666666666666,5,False,False,neither,"(0.4,0.6]","(0.6,0.8]",3-5
descrivibile,indescrivibile,1,1,1,2,0.14285714285714285,0.9,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
desegregazione,segregazione,1,1,1,2,0.14285714285714285,0.9,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
destatalizzare,statalizzare,1,1,1,2,0.14285714285714285,0.8888888888888888,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
deumidificatore,umidificatore,1,1,1,2,0.13333333333333333,1.0,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
devolverono,devolvettero,0,1,0,4,0.3333333333333333,0.75,1,False,True,dual_only,"(0.2,0.4]","(0.6,0.8]",1
difendere,offendere,1,1,0,2,0.2222222222222222,0.7142857142857143,0,True,False,bert_only,"(0.2,0.4]","(0.6,0.8]",0
dimostrare,provare,0,0,0,6,0.6,0.36363636363636365,3,True,True,both,"(0.4,0.6]","(0.2,0.4]",3-5
dire,tacere,1,0,0,4,0.6666666666666666,0.2857142857142857,2,False,False,neither,"(0.6,0.8]","(0.2,0.4]",2
discutibile,indiscutibile,1,1,1,2,0.15384615384615385,0.9,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
disillusione,illusione,1,1,1,3,0.25,0.875,3,True,True,both,"(0.2,0.4]","(0.8,1.0]",3-5
disimparare,imparare,1,0,1,3,0.2727272727272727,0.75,3,False,True,dual_only,"(0.2,0.4]","(0.6,0.8]",3-5
disincantato,incantato,1,1,1,3,0.25,0.75,3,True,True,both,"(0.2,0.4]","(0.6,0.8]",3-5
disincrostato,disincrostatosi,0,1,1,2,0.13333333333333333,1.0,2,False,False,neither,"(0,0.2]","(0.8,1.0]",2
disleale,leale,1,0,1,3,0.375,0.5,3,False,True,dual_only,"(0.2,0.4]","(0.4,0.6]",3-5
dismisura,dismisurità,0,1,1,3,0.2727272727272727,0.6666666666666666,2,False,False,neither,"(0.2,0.4]","(0.6,0.8]",2
disobbedire,obbedire,1,0,1,3,0.2727272727272727,0.8571428571428571,3,False,True,dual_only,"(0.2,0.4]","(0.8,1.0]",3-5
disotturare,otturare,1,0,1,3,0.2727272727272727,0.6666666666666666,3,False,True,dual_only,"(0.2,0.4]","(0.6,0.8]",3-5
disposizione,posizione,1,1,0,3,0.25,0.875,3,True,False,bert_only,"(0.2,0.4]","(0.8,1.0]",3-5
distruggibile,indistruggibile,1,1,1,2,0.13333333333333333,0.9090909090909091,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
disturbo,turbo,1,0,0,3,0.375,0.625,3,False,False,neither,"(0.2,0.4]","(0.6,0.8]",3-5
disuguale,uguale,1,0,1,3,0.3333333333333333,0.625,3,False,True,dual_only,"(0.2,0.4]","(0.6,0.8]",3-5
dopodomani,posdomani,0,0,0,3,0.3,0.875,1,True,True,both,"(0.2,0.4]","(0.8,1.0]",1
dozzinale,grazioso,1,0,0,7,0.7777777777777778,0.36363636363636365,1,False,False,neither,"(0.6,0.8]","(0.2,0.4]",1
elegantemente,inelegantemente,1,1,1,2,0.13333333333333333,0.875,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
emigrazione,immigrazione,1,1,1,2,0.16666666666666666,1.0,1,True,True,both,"(0,0.2]","(0.8,1.0]",1
empio,pio,1,1,0,2,0.4,0.6,2,True,False,bert_only,"(0.2,0.4]","(0.4,0.6]",2
energico,lasso,1,0,0,7,0.875,0.1,3,False,False,neither,"(0.8,1.0]","(0,0.2]",3-5
esametilentetrammina,urotropina,0,0,0,15,0.75,0.4166666666666667,10,True,True,both,"(0.6,0.8]","(0.4,0.6]",6+
esotropia,exotropia,1,1,0,1,0.1111111111111111,0.7777777777777778,0,True,False,bert_only,"(0,0.2]","(0.6,0.8]",0
esplorativo,esploratorio,0,0,0,3,0.25,0.9,1,True,True,both,"(0.2,0.4]","(0.8,1.0]",1
estetico,inestetico,1,1,1,2,0.2,0.8571428571428571,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
farsi,segnarsi,0,0,0,4,0.5,0.5,3,True,True,both,"(0.4,0.6]","(0.4,0.6]",3-5
figliolo,ragazzo,0,0,0,6,0.75,0.25,1,True,True,both,"(0.6,0.8]","(0.2,0.4]",1
fiorettatura,infiorettatura,1,0,0,2,0.14285714285714285,0.8888888888888888,2,False,False,neither,"(0,0.2]","(0.8,1.0]",2
flatulenza,peto,0,0,0,9,0.9,0.2,6,True,True,both,"(0.8,1.0]","(0,0.2]",6+
fortunatamente,purtroppo,1,1,1,12,0.8571428571428571,0.4,5,True,True,both,"(0.8,1.0]","(0.2,0.4]",3-5
forza,lena,0,0,0,4,0.8,0.125,1,True,True,both,"(0.6,0.8]","(0,0.2]",1
frangibile,infrangibile,1,0,1,2,0.16666666666666666,1.0,2,False,True,dual_only,"(0,0.2]","(0.8,1.0]",2
frigidaire,frigor,0,0,0,5,0.5,0.5,4,True,True,both,"(0.4,0.6]","(0.4,0.6]",3-5
frontale,posteriore,1,1,1,8,0.8,0.36363636363636365,2,True,True,both,"(0.6,0.8]","(0.2,0.4]",2
fruttosio,levulosio,0,0,0,5,0.5555555555555556,0.4,0,True,True,both,"(0.4,0.6]","(0.2,0.4]",0
fusibile,infusibile,1,1,1,2,0.2,0.875,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
fusibilità,infusibilità,1,1,1,2,0.16666666666666666,0.8888888888888888,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
gelataio,sorbettiere,0,0,0,9,0.8181818181818182,0.4,3,True,True,both,"(0.8,1.0]","(0.2,0.4]",3-5
giovane,maturo,1,0,1,7,1.0,0.18181818181818182,1,False,True,dual_only,"(0.8,1.0]","(0,0.2]",1
glicosuria,mellituria,0,1,0,6,0.6,0.4166666666666667,0,False,True,dual_only,"(0.4,0.6]","(0.4,0.6]",0
glifosate,glifosato,0,1,0,1,0.1111111111111111,0.8888888888888888,0,False,True,dual_only,"(0,0.2]","(0.8,1.0]",0
grandioso,meraviglioso,0,0,0,6,0.5,0.5,3,True,True,both,"(0.4,0.6]","(0.4,0.6]",3-5
gustoso,saporito,0,0,0,7,0.875,0.3333333333333333,1,True,True,both,"(0.8,1.0]","(0.2,0.4]",1
immateriale,materiale,1,1,1,2,0.18181818181818182,1.0,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
impari,pari,1,0,1,2,0.3333333333333333,0.8,2,False,True,dual_only,"(0.2,0.4]","(0.6,0.8]",2
impercettibile,percettibile,1,1,1,2,0.14285714285714285,0.8888888888888888,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
impermanente,permanente,1,1,1,2,0.16666666666666666,0.875,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
impreteribile,preteribile,1,1,1,2,0.15384615384615385,0.875,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
imprevedibile,prevedibile,1,1,1,2,0.15384615384615385,0.8888888888888888,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
impudente,procace,0,0,0,7,0.7777777777777778,0.16666666666666666,2,True,True,both,"(0.6,0.8]","(0,0.2]",2
incedette,incedé,0,1,0,4,0.4444444444444444,0.7142857142857143,3,False,True,dual_only,"(0.4,0.6]","(0.6,0.8]",3-5
incipiente,incombente,0,1,1,3,0.3,0.5555555555555556,0,False,False,neither,"(0.2,0.4]","(0.4,0.6]",0
indumento,veste,0,1,0,7,0.7777777777777778,0.2,4,False,True,dual_only,"(0.6,0.8]","(0,0.2]",3-5
infuori,sporgente,0,1,1,9,1.0,0.2727272727272727,2,False,False,neither,"(0.8,1.0]","(0.2,0.4]",2
inopportuno,opportuno,1,1,1,2,0.18181818181818182,0.8571428571428571,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
inquadratura,quadratura,1,1,1,2,0.16666666666666666,0.75,2,True,True,both,"(0,0.2]","(0.6,0.8]",2
insellare,sellare,1,0,0,2,0.2222222222222222,0.7142857142857143,2,False,False,neither,"(0.2,0.4]","(0.6,0.8]",2
insoffribile,soffribile,1,1,1,2,0.16666666666666666,0.8888888888888888,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
instillare,stillare,1,1,0,2,0.2,0.875,2,True,False,bert_only,"(0,0.2]","(0.8,1.0]",2
intempestivamente,tempestivamente,1,1,1,2,0.11764705882352941,1.0,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
intimamente,strettamente,0,1,1,6,0.5,0.625,1,False,False,neither,"(0.4,0.6]","(0.6,0.8]",1
intimo,timo,1,1,0,2,0.3333333333333333,0.8,2,True,False,bert_only,"(0.2,0.4]","(0.6,0.8]",2
intingere,tingere,1,1,0,2,0.2222222222222222,1.0,2,True,False,bert_only,"(0.2,0.4]","(0.8,1.0]",2
inumato,sepolto,0,0,0,5,0.7142857142857143,0.18181818181818182,0,True,True,both,"(0.6,0.8]","(0,0.2]",0
inutilmente,utilmente,1,1,1,2,0.18181818181818182,1.0,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
inzolfare,zolfare,1,1,0,2,0.2222222222222222,0.7777777777777778,2,True,False,bert_only,"(0.2,0.4]","(0.6,0.8]",2
iperonimia,iponimia,1,0,1,2,0.2,0.75,2,False,True,dual_only,"(0,0.2]","(0.6,0.8]",2
irriconoscente,riconoscente,1,1,1,2,0.14285714285714285,1.0,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
magione,stamberga,1,0,0,8,0.8888888888888888,0.36363636363636365,2,False,False,neither,"(0.8,1.0]","(0.2,0.4]",2
malattia,male,0,1,1,5,0.625,0.5,4,False,False,neither,"(0.6,0.8]","(0.4,0.6]",3-5
mendicante,mendico,0,0,0,4,0.4,0.6666666666666666,3,True,True,both,"(0.2,0.4]","(0.6,0.8]",3-5
mercato,piazza,0,0,0,7,1.0,0.1,1,True,True,both,"(0.8,1.0]","(0,0.2]",1
mezzanotte,settentrione,0,0,1,9,0.75,0.4,2,True,False,bert_only,"(0.6,0.8]","(0.2,0.4]",2
modesto,pavonesco,1,0,0,5,0.5555555555555556,0.2727272727272727,2,False,False,neither,"(0.4,0.6]","(0.2,0.4]",2
mondare,nettare,0,0,0,4,0.5714285714285714,0.5,0,True,True,both,"(0.4,0.6]","(0.4,0.6]",0
nonstagionato,stagionato,1,1,1,3,0.23076923076923078,1.0,3,True,True,both,"(0.2,0.4]","(0.8,1.0]",3-5
pallidezza,pallore,0,0,0,5,0.5,0.4444444444444444,3,True,True,both,"(0.4,0.6]","(0.4,0.6]",3-5
pieno,ricco,0,0,0,3,0.6,0.2857142857142857,0,True,True,both,"(0.4,0.6]","(0.2,0.4]",0
portaerei,portaeromobili,0,0,0,6,0.42857142857142855,0.7,5,True,True,both,"(0.4,0.6]","(0.6,0.8]",3-5
precedente,seguente,1,0,0,5,0.5,0.3,2,False,False,neither,"(0.4,0.6]","(0.2,0.4]",2
procacia,pudore,1,0,0,7,0.875,0.3333333333333333,2,False,False,neither,"(0.8,1.0]","(0.2,0.4]",2
professionale,professionistico,0,0,1,6,0.375,0.6666666666666666,3,True,False,bert_only,"(0.2,0.4]","(0.6,0.8]",3-5
propensione,tendenza,0,0,1,9,0.8181818181818182,0.18181818181818182,3,True,False,bert_only,"(0.8,1.0]","(0,0.2]",3-5
proteggersi,salvarsi,0,0,0,8,0.7272727272727273,0.2727272727272727,3,True,True,both,"(0.6,0.8]","(0.2,0.4]",3-5
puzzo,tanfo,0,0,0,4,0.8,0.125,0,True,True,both,"(0.6,0.8]","(0,0.2]",0
quanto,quantum,0,1,0,2,0.2857142857142857,0.7142857142857143,1,False,True,dual_only,"(0.2,0.4]","(0.6,0.8]",1
radiogramma,radiogrammofono,0,0,0,5,0.3333333333333333,0.7777777777777778,4,True,True,both,"(0.2,0.4]","(0.6,0.8]",3-5
ravveduto,ravvisto,0,1,1,3,0.3333333333333333,0.5,1,False,False,neither,"(0.2,0.4]","(0.4,0.6]",1
recuperare,ritrovare,0,0,0,6,0.6,0.3,1,True,True,both,"(0.4,0.6]","(0.2,0.4]",1
rifugio,riparo,0,0,0,4,0.5714285714285714,0.375,1,True,True,both,"(0.4,0.6]","(0.2,0.4]",1
sbaciucchiato,sbaciucchiatosi,0,0,0,2,0.13333333333333333,1.0,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
schifato,schifatosi,0,0,0,2,0.2,1.0,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
scontrosamente,sgradevolmente,0,1,0,8,0.5714285714285714,0.6153846153846154,0,False,True,dual_only,"(0.4,0.6]","(0.6,0.8]",0
sformato,sformatosi,0,1,0,2,0.2,0.875,2,False,True,dual_only,"(0,0.2]","(0.8,1.0]",2
similarmente,similmente,0,1,1,2,0.16666666666666666,0.7777777777777778,2,False,False,neither,"(0,0.2]","(0.6,0.8]",2
spopolato,spopolatosi,0,0,0,2,0.18181818181818182,0.8571428571428571,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
stappato,tappato,1,0,1,1,0.125,0.8,1,False,True,dual_only,"(0,0.2]","(0.6,0.8]",1
