word1,word2,label
hot,fit,0
improbable,plausible,1
rugged,rough,0
useless,helpless,0
bright,dull,1
angry,wild,0
swift,rapid,0
prevalent,powerful,0
irregular,eccentric,0
extremist,moderate,1
lateral,medial,1
fifth,cardinal,1
desperate,fearful,1
safe,adventurous,1
episodic,predictable,1
succinct,short,0
profound,fundamental,0
conspicuous,inconspicuous,1
arithmetic,geometric,1
last,low,1
flexible,inflexible,1
morbid,gruesome,0
permissible,allowable,0
inexperienced,experienced,1
supplemental,primary,1
efficacious,effective,0
sober,quiet,0
orthogonal,parallel,1
reserved,unreserved,1
stupid,inept,0
sudden,gradual,1
customary,ordinary,0
slow,tiresome,0
childlike,naive,0
vernacular,formal,1
valid,strong,0
average,extraordinary,1
captive,free,1
big,grown,0
thick,slim,1
scholastic,formal,0
viscous,thick,0
spiral,straight,1
brief,long,1
paranormal,normal,1
remaining,last,0
heterosexual,bisexual,1
perennial,permanent,0
forward,backward,1
subtle,skillful,0
silent,quiet,0
level,uneven,1
sparse,scattered,0
vivid,quick,0
boisterous,loud,0
auxiliary,primary,1
whig,tory,1
false,treacherous,0
acrobatic,athletic,0
dim,slow,0
bitter,pleasant,1
unfinished,raw,0
notable,unknown,1
legendary,real,1
impertinent,rude,0
black,white,1
stringy,thin,1
native,foreign,1
moderate,low,0
sorry,unhappy,0
white,happy,0
vicious,right,1
old,antique,0
remote,accessible,1
polar,frigid,0
unscientific,scientific,1
uptown,downtown,1
internal,foreign,1
supernatural,ordinary,1
metallic,nonmetallic,1
grey,terminal,1
chromatic,achromatic,1
optimal,optimum,0
elderly,young,1
cold,warm,1
lovely,ugly,1
absurd,silly,0
boundless,unlimited,0
red,sanguine,0
dim,light,1
rustic,urban,1
single,unmarried,0
vigorous,energetic,0
equitable,fair,0
perpendicular,oblique,1
indifferent,unconcerned,0
secret,open,1
unsuccessful,successful,1
latent,active,1
ethical,unethical,1
ready,unwilling,1
new,raw,0
opposite,other,0
farthest,last,0
deadly,venomous,0
particular,limited,0
infrasonic,ultrasonic,1
ugly,deformed,0
competent,qualified,0
imaginative,practical,1
plain,evident,0
full,copious,0
new,recent,0
straight,neat,0
slapdash,sloppy,0
second,first,1
boring,slow,0
outspoken,loud,0
renowned,celebrated,0
routine,round,0
symmetric,asymmetric,1
mere,entire,0
commonplace,unusual,1
different,distinct,0
profitable,unprofitable,1
incompetent,inefficient,0
accidental,casual,0
null,void,0
novel,fresh,0
dreadful,good,1
dextral,sinistral,1
dense,thick,0
mysterious,incomprehensible,0
dark,hopeless,0
psychological,physical,1
tubular,solid,1
muddy,clean,1
hydrous,anhydrous,1
short,scanty,0
divisible,indivisible,1
central,peripheral,1
busy,engaged,0
ardent,passionate,0
sinful,corrupt,0
pro,anti,1
narrow,wide,1
gay,heterosexual,1
atomic,big,1
mechanical,atomic,1
permanent,reversible,1
female,pistillate,0
marginal,wide,1
vital,essential,0
systemic,local,1
provincial,narrow,0
dumb,smart,1
classified,unclassified,1
hungry,poor,0
civil,courteous,0
nonmetallic,metallic,1
clever,smart,0
aristocratic,blue,0
paved,unpaved,1
marginal,central,1
condescending,patronizing,0
shameful,honorable,1
protogynous,protandrous,1
rural,urban,1
protective,tough,1
senior,elder,0
robust,rich,0
macroscopic,small,1
comical,amusing,0
nonpublic,public,1
sentimental,romantic,0
dry,humorless,1
dangerous,safe,1
reddish,crimson,0
top,bottom,1
lively,spirited,0
early,present,1
valid,sufficient,0
stupid,senseless,0
heinous,atrocious,0
dual,singular,1
restrained,quiet,0
junior,senior,1
coloured,white,1
crystalline,amorphous,1
local,universal,1
grating,harsh,0
far,remote,0
monetary,financial,0
developed,undeveloped,1
semiarid,wet,1
rude,uncivil,0
equal,corresponding,0
frivolous,light,0
fibrous,stringy,0
unregulated,regulated,1
distal,proximal,1
coarse,blunt,0
intermittent,constant,1
limited,infinite,1
beautiful,wonderful,0
high,strong,0
placid,gentle,0
livid,dark,1
improper,unlawful,0
bright,sparkling,0
ultra,extreme,0
commensurate,incommensurate,1
newborn,old,1
polar,equatorial,1
sick,strong,1
excessive,insufficient,1
interdependent,independent,1
monochromatic,polychromatic,1
mild,gentle,0
specific,nonspecific,1
convinced,positive,0
brief,concise,0
reactive,unreactive,1
saline,fresh,1
grave,deep,0
immediate,distant,1
harsh,pleasant,1
ready,unprepared,1
certain,stated,0
uninteresting,dry,0
dull,dense,0
untested,young,0
enormous,small,1
conversational,formal,1
ductile,brittle,1
spacious,small,1
mechanical,electronic,1
exotic,native,1
inner,intimate,0
costly,sumptuous,0
intermediate,medial,0
solid,diversified,1
persistent,sporadic,1
inaccurate,accurate,1
loud,soft,1
natural,adoptive,1
marshy,waterlogged,0
garish,bright,0
experienced,inexperienced,1
quiet,undemonstrative,0
slender,slight,0
insecure,suspicious,0
tense,lax,1
famous,unknown,1
close,short,0
fair,beautiful,0
cautious,circumspect,0
staminate,pistillate,1
organic,functional,1
hairy,bristly,0
bigamous,monogamous,1
rude,harsh,0
preliminary,final,1
teenage,old,1
antiquated,new,1
insectivorous,herbivorous,1
unpleasant,distasteful,0
wealthy,rich,0
evil,ill,0
heavy,shallow,1
great,commanding,0
awake,alert,0
hydrophilic,hydrophobic,1
unwieldy,heavy,0
sweet,honeyed,0
moral,righteous,0
mixed,homogenous,1
adverse,favourable,1
separate,joint,1
parochial,insular,0
open,undefended,0
overweight,thin,1
alcoholic,nonalcoholic,1
splendid,brilliant,0
hypersonic,supersonic,1
innocent,sophisticated,1
poor,miserable,0
orthodox,conventional,0
mineral,organic,1
frigid,icy,0
acceptable,comfortable,0
immense,large,0
brawny,strong,0
horizontal,vertical,1
routine,everyday,0
black,african,0
steep,high,0
solid,broken,1
solemn,earnest,0
circular,round,0
smart,brilliant,0
adequate,decent,0
excessive,deficient,1
heavy,fleshy,0
free,bound,1
multilingual,monolingual,1
liberal,independent,0
prosperous,poor,1
intrepid,brave,0
grand,sumptuous,0
past,future,1
honest,fair,0
grave,dangerous,0
monosyllabic,polysyllabic,1
urgent,imperative,0
sterile,barren,0
chinese,only,0
willful,stubborn,0
round,plump,0
clean,unclean,1
secret,mystic,0
general,prevalent,0
mischievous,serious,1
major,minor,1
real,intangible,1
defective,normal,1
right,center,1
persistent,tenacious,0
flat,bright,1
empirical,theoretic,1
fallible,infallible,1
skeptical,doubtful,0
heterodox,heretical,0
flat,level,0
jittery,nervous,0
fluid,unstable,0
talkative,quiet,1
aware,sensitive,0
deep,high,1
insular,isolated,0
simultaneous,asynchronous,1
intelligible,clear,0
tenacious,long,0
imperishable,indestructible,0
strong,regular,1
elementary,difficult,1
retroactive,proactive,1
fertile,infertile,1
odd,funny,0
immoral,unjust,0
stark,violent,0
unfavourable,favourable,1
singular,familiar,1
funny,curious,0
blunt,plain,0
sufficient,able,0
thin,lightweight,0
untrue,inaccurate,0
inside,outside,1
vague,uncertain,0
impoverished,destitute,0
repugnant,refractory,0
clear,confused,1
wrong,appropriate,1
vague,loose,0
unfortunate,unlucky,0
kinky,curly,0
important,critical,0
sinistral,dextral,1
aerodynamic,sleek,0
moot,relevant,1
ample,abundant,0
applicable,irrelevant,1
antenatal,postnatal,1
cross,transverse,0
evil,virtuous,1
very,true,0
willing,unwilling,1
limited,unlimited,1
secret,overt,1
silver,bright,0
licentious,immoral,0
uncertain,reliable,1
unclear,clear,1
cold,reserved,0
cyclic,acyclic,1
foggy,cloudy,0
sacrosanct,inviolable,0
boring,interesting,1
ineligible,legal,1
mendacious,false,0
informal,irregular,0
bright,shining,0
wild,civilized,1
graphic,graphical,0
able,capable,0
dense,compact,0
meticulous,painstaking,0
far,left,1
black,overt,1
grand,little,1
bad,vicious,0
adverse,contrary,0
mistaken,wrong,0
parallel,asynchronous,1
sick,ill,0
fond,foolish,0
tough,strong,0
merciful,gentle,0
keen,incisive,0
improper,appropriate,0
incorrect,accurate,1
usual,plain,0
elective,appointive,1
dead,flat,0
ineffective,inefficient,0
dark,black,0
hard,rigorous,0
arctic,northern,0
farcical,ridiculous,0
uninhabited,inhabited,1
scholastic,academic,0
unblemished,pure,0
ancient,former,0
typical,uncharacteristic,1
treble,low,1
celestial,divine,0
furious,wild,0
wild,ferocious,0
ideal,utopian,0
solemn,serious,0
excessive,moderate,1
rounded,circular,0
modern,dated,1
red,uncolored,1
liquid,smooth,0
beautiful,delightful,0
neutral,negative,1
ripe,immature,1
baronial,noble,0
underdeveloped,industrial,1
wee,big,1
considerable,good,0
warm,cool,1
empty,hollow,0
functional,organic,1
light,important,1
extended,small,1
inherent,natural,0
delightful,charming,0
educated,literate,0
colloquial,literary,1
novel,modern,0
fast,rough,1
fragile,significant,1
incongruous,congruous,1
striped,plain,1
red,achromatic,1
smart,stupid,1
plagal,authentic,1
ancient,new,1
flimsy,sturdy,1
active,uninvolved,1
suitable,unfit,1
vast,small,1
haughty,high,0
rare,common,1
wicked,sinful,0
intermittent,continual,1
murderous,bloody,0
vehement,furious,0
gorgeous,bright,0
small,unlimited,1
persistent,permanent,0
subsonic,supersonic,1
smart,efficient,0
collateral,additional,0
light,short,0
slovene,slovenian,0
ordinal,cardinal,1
little,big,1
tiny,big,1
punitive,vindictive,0
acute,pointed,0
junior,old,1
standby,primary,1
populated,uninhabited,1
regular,steady,0
obsolete,antiquated,0
brilliant,magnificent,0
liberal,right,1
pastoral,bucolic,0
feral,wild,0
spiteful,hateful,0
prudent,economical,0
incompatible,compatible,1
imaginative,fanciful,0
crumbly,soft,0
sedative,anxiolytic,0
lewd,lascivious,0
pious,obedient,0
personal,impersonal,1
unauthorised,authorised,1
impressive,unimpressive,1
neoliberal,conservative,1
open,inactive,1
unfavorable,favorable,1
fond,loving,0
untimely,timely,1
free,charming,0
early,former,0
wry,ironic,0
round,fair,0
broad,large,0
hallowed,sacred,0
active,dynamic,0
incorrect,illogical,0
due,right,0
good,suited,0
black,horrible,0
maritime,inland,1
illogical,irrational,0
immature,mature,1
hostile,combative,0
angry,high,0
reachable,unreachable,1
substantive,procedural,1
chronic,short,1
inarticulate,articulate,1
integrated,mixed,0
uncoated,coated,1
intimate,direct,0
new,old,1
literary,literate,0
bold,timid,1
paid,unpaid,1
auspicious,fortunate,0
informal,official,1
tedious,tiresome,0
advanced,retarded,1
material,immaterial,1
historical,future,1
inferior,substandard,0
massive,monumental,0
defamatory,libellous,0
sonic,supersonic,1
wide,distant,0
tricky,crafty,0
much,considerable,0
blue,low,0
national,local,1
appropriate,inappropriate,1
steep,low,1
late,slow,0
literal,figurative,1
inhuman,human,1
worthless,valuable,1
crazy,sane,1
original,derived,1
green,raw,0
quantitative,syllabic,1
brief,summary,0
equal,uniform,0
moral,immoral,1
separate,attached,1
procedural,substantive,1
alternate,opposite,1
melancholy,sad,0
foreign,domestic,1
immoral,moral,1
inalienable,imprescriptible,0
angry,displeased,0
important,urgent,0
treasonable,seditious,0
obscene,disgusting,0
right,straight,0
weak,infirm,0
mobile,fixed,1
fresh,sound,0
official,informal,1
beneficial,profitable,0
abundant,free,0
thermonuclear,conventional,1
eastern,oriental,0
dioecious,monoecious,1
final,opening,1
precise,imprecise,1
accessible,available,0
unlucky,unhappy,0
dihedral,anhedral,1
insolvent,bankrupt,0
rebellious,loyal,1
starboard,port,1
customary,unusual,1
mediocre,good,1
unstable,constant,1
good,nasty,1
ridiculous,surreal,0
special,uncommon,0
jewish,israelite,0
temperate,moderate,0
cryptographic,cryptanalytic,0
apt,quick,0
mindful,aware,0
unorthodox,heretical,0
bad,sorry,0
limitless,limited,1
biological,adoptive,1
important,high,0
bisexual,homosexual,1
particular,secondary,1
equal,unbiased,0
philosophic,rational,0
raw,sensitive,0
extraordinary,regular,1
miserable,poor,0
vicious,bitter,0
quaint,archaic,0
incurable,curable,1
local,national,1
dependent,addicted,0
greedy,gluttonous,0
liberal,conservative,1
essential,necessary,0
possible,practicable,0
brave,bold,0
smart,bright,0
hopeless,desperate,0
gabled,hipped,1
immoral,depraved,0
depressed,low,0
warm,cordial,0
sticky,easy,1
oblique,indirect,0
supernatural,natural,1
large,invisible,1
prepared,unprepared,1
friendly,hostile,1
definite,uncertain,1
gilded,golden,0
old,antiquated,0
adaptive,maladaptive,1
extensive,intensive,1
recurrent,intermittent,0
basic,fundamental,0
center,middle,0
forward,bold,0
enigmatic,mysterious,0
comic,amusing,0
mathematical,verbal,1
strong,vulnerable,1
old,young,1
viable,impossible,1
mental,immaterial,0
reasonable,unreasonable,1
capable,effective,0
quiet,calm,0
hooked,straight,1
clouded,clear,1
outdated,current,1
outside,inside,1
clandestine,covert,0
redundant,necessary,1
true,false,1
unrestricted,private,1
gross,big,0
voluminous,large,0
alive,awake,0
illiterate,uneducated,0
hideous,beautiful,1
embryonic,late,1
hurtful,painful,0
dark,sullen,0
synthetic,analytical,1
perennial,annual,1
outboard,inboard,1
wild,barbarian,0
rare,thin,0
confused,organized,1
ample,rich,0
important,considerable,0
double,treble,0
timid,bold,1
prevalent,general,0
imaginary,actual,1
metaphorical,allegorical,0
eternal,temporary,1
physical,immaterial,1
enforceable,unenforceable,1
unsized,sized,1
charming,pleasing,0
odd,curious,0
virtuous,righteous,0
lenient,strict,1
grand,poor,1
meditative,contemplative,0
abundant,rich,0
thoughtful,deliberate,0
gritty,dirty,0
short,little,0
functional,official,0
joint,separate,1
voiced,unvoiced,1
retired,active,1
caustic,severe,0
odd,even,1
thin,wide,1
memorial,commemorative,0
pure,unadulterated,0
pleased,satisfied,0
top,side,1
minor,adult,1
bipolar,unipolar,1
plain,fancy,1
flat,depressed,0
allopatric,sympatric,1
denotative,connotative,1
lucky,successful,0
efficient,competent,0
petite,large,1
nude,clad,1
fictitious,real,1
dangerous,hazardous,0
gracious,kind,0
lawful,legal,0
severe,stern,0
wide,narrow,1
sufficient,insufficient,1
cowardly,brave,1
relentless,grim,0
unofficial,official,1
homothallic,heterothallic,1
smooth,liquid,0
clear,distinct,0
superior,prior,0
dense,thin,1
disabled,lame,0
covered,uncovered,1
naughty,good,1
robust,sound,0
flexible,sturdy,1
stern,resolute,0
vacant,free,0
artistic,aesthetic,0
cloudless,bright,0
recreational,professional,1
virtuous,pure,0
universal,specific,1
nervous,relaxed,1
old,new,1
hard,powerful,0
minus,plus,1
southwestern,eastern,1
natural,abnormal,1
decisive,indecisive,1
qualified,unqualified,1
polar,hot,1
cortical,superficial,0
earnest,sincere,0
dangerous,nasty,0
entire,whole,0
norse,scandinavian,0
main,necessary,0
divergent,convergent,1
teen,teenage,0
affected,unaffected,1
intimate,confidential,0
northern,northward,0
unauthorized,official,1
preferable,undesirable,1
distinguishable,indistinguishable,1
sweet,mild,0
unselfish,selfish,1
drab,colorful,1
lifeless,full,1
deliberate,careful,0
curious,inquisitive,0
extra,scheduled,1
constant,steadfast,0
intelligent,aware,0
witty,amusing,0
obscure,difficult,0
linear,additive,0
leftist,right,1
alto,low,1
legitimate,logical,0
crazy,insane,0
comic,funny,0
sandy,argillaceous,1
flimsy,strong,1
disposed,minded,0
vulgar,low,0
unchanging,static,0
familiar,distant,1
trustworthy,untrustworthy,1
professional,amateur,1
multiple,single,1
pleasing,pleasant,0
reliable,sure,0
partial,biased,0
irreducible,reducible,1
powerless,powerful,1
conspicuous,obscure,1
able,incompetent,1
critical,dispensable,1
bilateral,asymmetrical,1
light,fat,1
wonderful,miraculous,0
incongruent,congruent,1
slight,silly,0
outermost,inner,1
uncertain,indefinite,0
last,initial,1
loose,firm,1
watchful,vigilant,0
much,less,1
several,single,0
inappropriate,appropriate,1
mild,strong,1
overt,public,0
old,abundant,0
elegant,nice,0
additional,supplemental,0
random,haphazard,0
blunt,pointed,1
imaginative,creative,0
disgusting,offensive,0
legal,ineligible,1
sluggish,active,1
patriarchal,matriarchal,1
solid,gaseous,1
squarish,circular,1
depressing,dull,0
bicameral,unicameral,1
deep,serious,0
close,distant,1
free,devoid,0
destitute,needy,0
sad,pitiful,0
deficient,lacking,0
orthogonal,related,1
indefinite,certain,1
localized,systemic,1
gray,grayish,0
speedy,fast,0
federal,southern,1
convivial,social,0
quick,prompt,0
wicked,virtuous,1
immune,susceptible,1
able,unfit,1
coarse,rough,0
accountable,responsible,0
lawful,criminal,1
comfortable,uncomfortable,1
actual,absolute,0
infantile,old,1
risky,dangerous,0
right,parallel,1
mild,calm,0
total,full,0
clear,obscure,1
thick,tall,1
indigenous,foreign,1
dubious,questionable,0
parochial,limited,0
presumptuous,arrogant,0
general,specific,1
secondhand,new,1
real,false,1
southern,northern,1
milky,clear,1
comparable,like,0
devout,religious,0
fake,natural,1
unnecessary,unneeded,0
serious,playful,1
inalienable,alienable,1
essential,pure,0
stale,fresh,1
maximum,minimal,1
ambiguous,indeterminate,0
dense,close,0
male,feminine,1
other,same,1
black,clean,1
condescending,arrogant,1
open,obvious,0
limited,comprehensive,1
top,best,0
weak,faint,0
single,widowed,1
glad,happy,0
cold,live,1
white,evil,1
rainy,dry,1
leaden,light,1
cosmic,small,1
renowned,wonderful,0
terrestrial,amphibious,1
formal,unofficial,1
dishonest,disingenuous,0
electric,electrical,0
last,farthest,0
sickly,healthy,1
eccentric,concentric,1
ready,easy,0
pseudonymous,anonymous,1
definite,particular,0
atomic,conventional,1
intense,mild,1
simple,entire,0
northwest,northwestern,0
nonviolent,passive,0
nominal,real,1
finished,complete,0
ungodly,wicked,0
infectious,contagious,0
conservative,radical,1
antiquated,obsolete,0
centripetal,centrifugal,1
busy,anxious,0
flat,2-dimensional,0
sloping,steep,1
trivial,serious,1
circular,cyclic,0
worthy,noble,0
inclined,vertical,1
automatic,voluntary,1
expensive,cheap,1
broken,smooth,1
continual,constant,0
natural,flat,1
aboriginal,late,1
slender,thick,1
clear,gross,1
ineffective,unable,0
acute,sensitive,0
alone,solitary,0
quick,nimble,0
cosmopolitan,general,0
next,previous,1
perinatal,postnatal,1
solid,clear,1
wild,savage,0
unskilled,skilled,1
big,little,1
regular,goofy,1
senseless,pointless,0
quiet,active,1
emotional,intellectual,1
recessive,dominant,1
straight,bisexual,1
massive,small,1
worthless,good,1
untitled,noble,1
incapable,adequate,1
trivial,significant,1
peaceful,mild,0
cruel,sharp,0
sound,unsound,1
weighted,light,1
masculine,feminine,1
squat,high,1
insoluble,strong,0
general,uncommon,1
insecure,secure,1
reliable,true,0
acceptable,bad,1
tart,sweet,1
splendid,famous,0
ancient,prehistoric,0
homologous,analogous,1
underwater,amphibious,1
glossy,dull,1
ready,suitable,0
grand,large,0
contradictory,supportive,1
handsome,attractive,0
consecutive,straight,0
excellent,inferior,1
clear,readable,0
distressed,worried,0
concurrent,asynchronous,1
unconscious,awake,1
naughty,mischievous,0
extraordinary,common,1
deleterious,harmful,0
eligible,ineligible,1
rigid,flexible,1
decent,enough,0
sweet,salty,1
difficult,cumbersome,0
microscopic,invisible,1
unknowable,knowable,1
silvery,dull,1
broad,unclear,1
northern,north,0
cool,cold,0
icy,cold,0
automatic,manual,1
everyday,formal,1
constructive,destructive,1
real,imaginary,1
indistinguishable,different,1
indifferent,superior,1
quick,alive,0
mental,mechanical,1
erect,soft,1
nervous,calm,1
theoretical,speculative,0
furred,hairless,1
furnished,equipped,0
alert,alive,0
hypothetical,empirical,1
tired,original,1
parental,filial,1
pedunculate,sessile,1
smooth,difficult,1
broad,narrow,1
intermediate,transitional,0
constructive,neutral,1
unimpressive,impressive,1
flat,uneven,1
virgin,new,0
sinful,holy,1
coloured,uncoloured,1
large,diffuse,0
asymmetric,symmetric,1
barbarous,ignorant,0
warm,dull,1
memorable,forgettable,1
abundant,numerous,0
rude,insolent,0
surplus,necessary,1
crude,vulgar,0
dead,extinct,0
far,short,1
passive,aggressive,1
swampy,dry,1
absolute,comparative,1
dense,opaque,0
magnificent,fine,0
awake,conscious,0
effective,inactive,1
allowable,permissible,0
express,local,1
fanciful,real,1
monstrous,strange,0
strong,impregnable,0
outside,inner,1
competent,sufficient,0
sleek,smooth,0
informal,intimate,0
amusing,good,0
proud,majestic,0
finite,infinite,1
cultural,ethnic,0
accurate,correct,0
lowly,humble,0
great,excellent,0
polite,uncivil,1
inept,clumsy,0
median,medial,0
thriving,prosperous,0
virginal,pure,0
grand,fine,0
steadfast,resolute,0
regional,local,0
beautiful,charming,0
modern,classical,1
aghast,shocked,0
poetic,literal,1
infinitesimal,large,1
palatal,hard,1
brutal,merciless,0
frightened,terrified,0
solitary,only,0
homeless,stateless,0
special,common,1
polite,polished,0
high,grave,1
avaricious,greedy,0
alive,sensitive,0
easy,steep,1
prideful,arrogant,0
retired,quiet,0
royal,princely,0
assorted,various,0
narrow,broad,1
warlike,peaceful,1
nimble,swift,0
flat,natural,1
good,dependable,0
harsh,light,1
diurnal,nocturnal,1
natural,characteristic,0
little,loud,1
familiar,accessible,0
mathematical,accurate,0
tight,loose,1
tart,sour,0
limpid,bright,0
hairy,pubescent,0
apathetic,interested,1
premature,late,1
ephemeral,permanent,1
hot,inactive,1
untested,untried,0
opposite,alternate,1
first,pristine,0
regular,complete,0
subtle,shrewd,0
suffragan,assistant,0
pretty,ugly,1
plausible,implausible,1
daring,adventurous,0
foul,abusive,0
lazy,busy,1
optic,optical,0
monoecious,dioecious,1
sterile,infertile,0
first,maiden,0
big,humble,1
disgraceful,shameful,0
acceptable,unacceptable,1
formal,essential,0
round,blunt,0
artificial,genuine,1
bitter,pungent,0
live,animated,1
natural,supernatural,1
naval,marine,0
ovate,oval,0
noncompetitive,competitive,1
false,correct,1
grim,stern,0
deceased,dead,0
courageous,bold,0
sinister,corrupt,0
unwanted,undesirable,0
firm,fast,0
constant,unremitting,0
subordinate,independent,1
incisive,sharp,0
infertile,fertile,1
paperback,hardback,1
normal,ordinary,0
ancient,recent,1
weak,low,0
authorized,unauthorized,1
charitable,kind,0
substantial,actual,0
shy,bold,1
savage,civilized,1
expensive,extravagant,0
brief,short,0
common,national,0
trenchant,sharp,0
barbarous,civilized,1
bulky,small,1
universal,catholic,0
exclusive,sole,0
new,obsolete,1
lowercase,uppercase,1
unable,helpless,0
alone,desolate,0
individual,same,0
disconnected,disjointed,0
igneous,sedimentary,1
reluctant,unwilling,0
untruthful,truthful,1
solid,bad,1
anticlinal,synclinal,1
blue,southern,1
dissimilar,different,0
spiritual,corporeal,1
pro,con,1
internal,inherent,0
excellent,great,0
caucasian,black,1
intercontinental,continental,1
horrific,terrible,0
supportive,unsupportive,1
separate,connected,1
sarcastic,sharp,0
integral,individual,0
long,scarce,1
physical,medicinal,0
nett,gross,1
homogeneous,heterogeneous,1
figurative,typical,0
marshy,wet,0
thick,stupid,0
definitive,conclusive,0
bare,stripped,0
corrupt,crooked,0
truthful,false,1
fantastic,realistic,1
stale,original,1
dark,white,1
constitutional,organic,0
wet,useless,0
alert,lively,0
fatty,fat,0
dull,sleepy,0
tender,warm,0
true,reliable,0
arctic,frigid,0
redundant,pleonastic,0
lavish,wasteful,0
terrific,tremendous,0
outside,internal,1
proximate,distant,1
blonde,fair,0
imbricate,smooth,1
fair,pleasant,0
hilly,plain,1
pure,spotless,0
supersonic,subsonic,1
undesirable,desirable,1
miserable,worthless,0
unrighteous,wicked,0
rough,cut,1
credible,incredible,1
inadequate,adequate,1
brave,timid,1
kinetic,active,0
virtual,real,1
devoid,empty,0
uninformed,informed,1
furthest,near,1
original,primal,0
frequent,uncommon,1
aboriginal,primitive,0
susceptible,open,0
popular,anonymous,1
productive,fruitful,0
nontraditional,traditional,1
subacute,chronic,1
exhaustive,incomplete,1
quadratic,square,0
pragmatic,functional,0
speedy,slow,1
beautiful,graceful,0
unified,integrated,0
normal,regular,0
thin,thick,1
big,pregnant,0
optional,mandatory,1
salty,fresh,1
improbable,likely,1
reluctant,willing,1
constant,continuous,0
famous,obscure,1
ideal,concrete,1
limitless,infinite,0
studious,bookish,0
infrared,visible,1
impatient,irritable,0
full,thin,1
guilty,innocent,1
gray,old,0
sound,strong,0
elder,superior,0
neat,nice,0
big,small,1
southeast,north,1
crass,stupid,0
oversize,small,1
rapid,fast,0
east,west,1
false,valid,1
dark,moody,0
false,hypocritical,0
backward,progressive,1
synclinal,anticlinal,1
close,loose,1
broad,full,0
ashamed,proud,1
rational,intelligent,0
unmarried,married,1
comical,laughable,0
consonantal,vocalic,1
galvanic,voltaic,0
peculiar,funny,0
independent,exclusive,0
exact,incorrect,1
terminal,final,0
contentious,litigious,0
fuliginous,dark,0
competent,incompetent,1
requisite,essential,0
oblong,short,1
