word1,word2,label,bert_pred,dual_pred,edit_distance,edit_distance_norm,char_jaccard,len_diff,bert_correct,dual_correct,category,ed_bin,jaccard_bin,len_diff_bin
abundant,superabundant,0,1,0,5,0.38461538461538464,0.6,5,False,True,dual_only,"(0.2,0.4]","(0.4,0.6]",3-5
abuse,deceive,0,1,0,6,0.8571428571428571,0.1111111111111111,2,False,True,dual_only,"(0.8,1.0]","(0,0.2]",2
acceleration,retardation,1,1,1,6,0.5,0.7,1,True,True,both,"(0.4,0.6]","(0.6,0.8]",1
accent,tone,0,0,0,5,0.8333333333333334,0.5,2,True,True,both,"(0.8,1.0]","(0.4,0.6]",2
acceptable,satisfactory,0,0,0,11,0.9166666666666666,0.23076923076923078,2,True,True,both,"(0.8,1.0]","(0.2,0.4]",2
accept,decline,1,1,1,6,0.8571428571428571,0.2222222222222222,1,True,True,both,"(0.8,1.0]","(0.2,0.4]",1
accompany,follow,0,0,0,8,0.8888888888888888,0.1,3,True,True,both,"(0.8,1.0]","(0,0.2]",3-5
accomplish,perform,0,0,0,10,1.0,0.25,3,True,True,both,"(0.8,1.0]","(0.2,0.4]",3-5
accordance,conformity,0,0,0,9,0.9,0.3333333333333333,0,True,True,both,"(0.8,1.0]","(0.2,0.4]",0
account,explanation,0,0,0,9,0.8181818181818182,0.36363636363636365,4,True,True,both,"(0.8,1.0]","(0.2,0.4]",3-5
account,importance,0,0,0,8,0.8,0.45454545454545453,3,True,True,both,"(0.6,0.8]","(0.4,0.6]",3-5
accumulate,garner,0,0,0,10,1.0,0.2,4,True,True,both,"(0.8,1.0]","(0,0.2]",3-5
accuracy,inaccuracy,1,1,1,2,0.2,0.7142857142857143,2,True,True,both,"(0,0.2]","(0.6,0.8]",2
accurate,careful,0,0,0,7,0.875,0.625,1,True,True,both,"(0.8,1.0]","(0.6,0.8]",1
accurate,faithful,0,0,0,8,1.0,0.3,0,True,True,both,"(0.8,1.0]","(0.2,0.4]",0
accurate,inaccurate,1,1,1,2,0.2,0.75,2,True,True,both,"(0,0.2]","(0.6,0.8]",2
accurate,precise,0,0,0,7,0.875,0.3333333333333333,1,True,True,both,"(0.8,1.0]","(0.2,0.4]",1
accusation,acquittal,1,1,1,6,0.6,0.5,1,True,True,both,"(0.4,0.6]","(0.4,0.6]",1
accustomed,usual,0,0,0,8,0.8,0.3,5,True,True,both,"(0.6,0.8]","(0.2,0.4]",3-5
achieve,kill,0,0,1,6,0.8571428571428571,0.125,3,True,False,bert_only,"(0.8,1.0]","(0,0.2]",3-5
achieve,reach,0,0,0,6,0.8571428571428571,0.5714285714285714,2,True,True,both,"(0.8,1.0]","(0.4,0.6]",2
acidic,alkaline,1,1,1,6,0.75,0.25,2,True,True,both,"(0.6,0.8]","(0.2,0.4]",2
acquittal,sentence,1,1,1,9,1.0,0.2,1,True,True,both,"(0.8,1.0]","(0,0.2]",1
actinomorphic,zygomorphic,1,1,1,5,0.38461538461538464,0.5384615384615384,2,True,True,both,"(0.2,0.4]","(0.4,0.6]",2
activate,inactivate,1,1,1,2,0.2,0.8571428571428571,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
activation,deactivation,1,1,1,2,0.16666666666666666,0.7777777777777778,2,True,True,both,"(0,0.2]","(0.6,0.8]",2
active,inactive,1,1,1,2,0.25,0.8571428571428571,2,True,True,both,"(0.2,0.4]","(0.8,1.0]",2
active,lively,0,1,0,5,0.8333333333333334,0.375,0,False,True,dual_only,"(0.8,1.0]","(0.2,0.4]",0
active,passive,1,1,1,3,0.42857142857142855,0.5,1,True,True,both,"(0.4,0.6]","(0.4,0.6]",1
active,passive,1,1,1,3,0.42857142857142855,0.5,1,True,True,both,"(0.4,0.6]","(0.4,0.6]",1
active,passive,1,1,1,3,0.42857142857142855,0.5,1,True,True,both,"(0.4,0.6]","(0.4,0.6]",1
active,passive,1,1,1,3,0.42857142857142855,0.5,1,True,True,both,"(0.4,0.6]","(0.4,0.6]",1
active,quiet,1,1,1,5,0.8333333333333334,0.375,1,True,True,both,"(0.8,1.0]","(0.2,0.4]",1
active,stative,1,1,1,3,0.42857142857142855,0.7142857142857143,1,True,True,both,"(0.4,0.6]","(0.6,0.8]",1
active,vigorous,0,0,0,8,1.0,0.18181818181818182,2,True,True,both,"(0.8,1.0]","(0,0.2]",2
actual,false,1,1,1,6,1.0,0.25,1,True,True,both,"(0.8,1.0]","(0.2,0.4]",1
actual,potential,1,1,1,6,0.6666666666666666,0.3,3,True,True,both,"(0.6,0.8]","(0.2,0.4]",3-5
actual,practical,0,0,1,4,0.4444444444444444,0.5,3,True,False,bert_only,"(0.4,0.6]","(0.4,0.6]",3-5
act,refrain,1,1,1,6,0.8571428571428571,0.125,4,True,True,both,"(0.8,1.0]","(0,0.2]",3-5
act,stir,0,0,0,4,1.0,0.16666666666666666,1,True,True,both,"(0.8,1.0]","(0,0.2]",1
acute,chronic,1,1,1,7,1.0,0.1,2,True,True,both,"(0.8,1.0]","(0,0.2]",2
acute,obtuse,1,0,1,4,0.6666666666666666,0.375,1,False,True,dual_only,"(0.6,0.8]","(0.2,0.4]",1
adaptable,versatile,0,0,0,7,0.7777777777777778,0.36363636363636365,0,True,True,both,"(0.6,0.8]","(0.2,0.4]",0
adaxial,abaxial,1,1,1,1,0.14285714285714285,0.6666666666666666,0,True,True,both,"(0,0.2]","(0.6,0.8]",0
addition,subtraction,1,1,1,7,0.6363636363636364,0.45454545454545453,3,True,True,both,"(0.6,0.8]","(0.4,0.6]",3-5
address,lecture,0,0,0,7,1.0,0.2222222222222222,0,True,True,both,"(0.8,1.0]","(0.2,0.4]",0
adductor,abductor,1,1,1,1,0.125,0.875,0,True,True,both,"(0,0.2]","(0.8,1.0]",0
add,subtract,1,1,1,7,0.875,0.125,5,True,True,both,"(0.8,1.0]","(0,0.2]",3-5
add,tally,0,0,0,4,0.8,0.2,2,True,True,both,"(0.6,0.8]","(0,0.2]",2
adhesive,sticky,0,0,0,8,1.0,0.18181818181818182,2,True,True,both,"(0.8,1.0]","(0,0.2]",2
adjacent,distant,1,0,1,5,0.625,0.4444444444444444,1,False,True,dual_only,"(0.6,0.8]","(0.4,0.6]",1
adjacent,far,1,0,1,7,0.875,0.1111111111111111,5,False,True,dual_only,"(0.8,1.0]","(0,0.2]",3-5
adjacent,separate,1,0,1,7,0.875,0.3,0,False,True,dual_only,"(0.8,1.0]","(0.2,0.4]",0
adjective,substantive,1,1,1,7,0.6363636363636364,0.4166666666666667,2,True,True,both,"(0.6,0.8]","(0.4,0.6]",2
adjust,skew,1,0,1,6,1.0,0.1111111111111111,2,False,True,dual_only,"(0.8,1.0]","(0,0.2]",2
administer,deal,0,1,0,9,0.9,0.3,6,False,True,dual_only,"(0.8,1.0]","(0.2,0.4]",6+
adolescent,old,1,1,1,8,0.8,0.3333333333333333,7,True,True,both,"(0.6,0.8]","(0.2,0.4]",6+
adorn,deck,0,0,0,4,0.8,0.125,1,True,True,both,"(0.6,0.8]","(0,0.2]",1
advanced,innovative,0,0,0,8,0.8,0.4444444444444444,2,True,True,both,"(0.6,0.8]","(0.4,0.6]",2
advance,aid,0,0,0,6,0.8571428571428571,0.2857142857142857,4,True,True,both,"(0.8,1.0]","(0.2,0.4]",3-5
advance,back,1,0,1,5,0.7142857142857143,0.25,3,False,True,dual_only,"(0.6,0.8]","(0.2,0.4]",3-5
advance,break,1,0,1,6,0.8571428571428571,0.2222222222222222,2,False,True,dual_only,"(0.8,1.0]","(0.2,0.4]",2
advance,bump,1,0,1,7,1.0,0.0,3,False,True,dual_only,"(0.8,1.0]",0,3-5
advance,demote,1,0,1,5,0.7142857142857143,0.2222222222222222,1,False,True,dual_only,"(0.6,0.8]","(0.2,0.4]",1
advance,lose,1,0,1,6,0.8571428571428571,0.1111111111111111,3,False,True,dual_only,"(0.8,1.0]","(0,0.2]",3-5
advance,retire,1,0,1,6,0.8571428571428571,0.1111111111111111,1,False,True,dual_only,"(0.8,1.0]","(0,0.2]",1
advance,retreat,1,0,1,7,1.0,0.25,0,False,True,dual_only,"(0.8,1.0]","(0.2,0.4]",0
advantageous,useful,0,0,0,10,0.8333333333333334,0.25,6,True,True,both,"(0.8,1.0]","(0.2,0.4]",6+
adventurous,daring,0,0,0,9,0.8181818181818182,0.3333333333333333,5,True,True,both,"(0.8,1.0]","(0.2,0.4]",3-5
advise,apprise,0,0,0,3,0.42857142857142855,0.5,1,True,True,both,"(0.4,0.6]","(0.4,0.6]",1
aerobic,anaerobic,1,1,1,2,0.2222222222222222,0.875,2,True,True,both,"(0.2,0.4]","(0.8,1.0]",2
aerodynamic,streamlined,0,1,0,10,0.9090909090909091,0.5384615384615384,0,False,True,dual_only,"(0.8,1.0]","(0.4,0.6]",0
aestivate,hibernate,1,0,1,6,0.6666666666666666,0.4,0,False,True,dual_only,"(0.6,0.8]","(0.2,0.4]",0
aestivation,hibernation,1,1,0,6,0.5454545454545454,0.5454545454545454,0,True,False,bert_only,"(0.4,0.6]","(0.4,0.6]",0
affair,concern,0,0,0,6,0.8571428571428571,0.125,1,True,True,both,"(0.8,1.0]","(0,0.2]",1
affectionate,fond,0,0,0,9,0.75,0.3333333333333333,8,True,True,both,"(0.6,0.8]","(0.2,0.4]",6+
affectionate,sharp,1,0,0,11,0.9166666666666666,0.08333333333333333,7,False,False,neither,"(0.8,1.0]","(0,0.2]",6+
affect,overcome,0,0,0,7,0.875,0.2222222222222222,2,True,True,both,"(0.8,1.0]","(0.2,0.4]",2
affirmative,negative,1,1,1,6,0.5454545454545454,0.5,3,True,True,both,"(0.4,0.6]","(0.4,0.6]",3-5
affluence,poverty,1,1,1,8,0.8888888888888888,0.07692307692307693,2,True,True,both,"(0.8,1.0]","(0,0.2]",2
afraid,apprehensive,0,1,0,9,0.75,0.2727272727272727,6,False,True,dual_only,"(0.6,0.8]","(0.2,0.4]",6+
aged,new,1,1,0,3,0.75,0.16666666666666666,1,True,False,bert_only,"(0.6,0.8]","(0,0.2]",1
age,era,0,0,1,3,1.0,0.5,0,True,False,bert_only,"(0.8,1.0]","(0.4,0.6]",0
age,rejuvenate,1,0,1,8,0.8,0.2222222222222222,7,False,True,dual_only,"(0.6,0.8]","(0.2,0.4]",6+
aggregate,total,0,1,0,8,0.8888888888888888,0.2857142857142857,4,False,True,dual_only,"(0.8,1.0]","(0.2,0.4]",3-5
aggregation,accumulation,0,1,1,6,0.5,0.4166666666666667,1,False,False,neither,"(0.4,0.6]","(0.4,0.6]",1
aggressive,combative,0,0,0,7,0.7,0.3333333333333333,1,True,True,both,"(0.6,0.8]","(0.2,0.4]",1
aggressive,nonaggressive,1,1,1,3,0.23076923076923078,0.7777777777777778,3,True,True,both,"(0.2,0.4]","(0.6,0.8]",3-5
agile,active,0,1,0,3,0.5,0.375,1,False,True,dual_only,"(0.4,0.6]","(0.2,0.4]",1
agile,quick,0,1,0,4,0.8,0.1111111111111111,0,False,True,dual_only,"(0.6,0.8]","(0,0.2]",0
agreement,disagreement,1,1,1,3,0.25,0.7,3,True,True,both,"(0.2,0.4]","(0.6,0.8]",3-5
agree,differ,1,1,1,5,0.8333333333333334,0.2857142857142857,1,True,True,both,"(0.8,1.0]","(0.2,0.4]",1
aim,propose,0,0,0,7,1.0,0.0,4,True,True,both,"(0.8,1.0]",0,3-5
air,intelligence,0,0,0,11,0.9166666666666666,0.1111111111111111,9,True,True,both,"(0.8,1.0]","(0,0.2]",6+
alienable,inalienable,1,1,1,2,0.18181818181818182,1.0,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
aliphatic,alicyclic,1,1,1,4,0.4444444444444444,0.5,0,True,True,both,"(0.4,0.6]","(0.4,0.6]",0
aliphatic,aromatic,1,1,1,4,0.4444444444444444,0.4,1,True,True,both,"(0.4,0.6]","(0.2,0.4]",1
alkaline,basic,0,1,1,6,0.75,0.2222222222222222,3,False,False,neither,"(0.6,0.8]","(0.2,0.4]",3-5
alliterative,unrhymed,1,0,1,11,0.9166666666666666,0.15384615384615385,4,False,True,dual_only,"(0.8,1.0]","(0,0.2]",3-5
allochthonous,autochthonous,1,1,1,2,0.15384615384615385,0.8888888888888888,0,True,True,both,"(0,0.2]","(0.8,1.0]",0
allow,appropriate,0,0,0,9,0.8181818181818182,0.2222222222222222,6,True,True,both,"(0.8,1.0]","(0.2,0.4]",6+
allow,disallow,1,1,1,3,0.375,0.5714285714285714,3,True,True,both,"(0.2,0.4]","(0.4,0.6]",3-5
allow,nix,1,0,1,5,1.0,0.0,2,False,True,dual_only,"(0.8,1.0]",0,2
allow,prohibit,1,1,1,8,1.0,0.1,3,True,True,both,"(0.8,1.0]","(0,0.2]",3-5
allude,point,0,0,0,6,1.0,0.0,1,True,True,both,"(0.8,1.0]",0,1
ally,enemy,1,0,1,4,0.8,0.16666666666666666,1,False,True,dual_only,"(0.6,0.8]","(0,0.2]",1
alternate,primary,1,1,1,8,0.8888888888888888,0.2,2,True,True,both,"(0.8,1.0]","(0,0.2]",2
alternation,variation,0,1,0,5,0.45454545454545453,0.6666666666666666,2,False,True,dual_only,"(0.4,0.6]","(0.6,0.8]",2
alternative,alternate,0,1,1,2,0.18181818181818182,0.75,2,False,False,neither,"(0,0.2]","(0.6,0.8]",2
alter,maintain,1,1,1,6,0.75,0.25,3,True,True,both,"(0.6,0.8]","(0.2,0.4]",3-5
altricial,nidicolous,0,0,1,9,0.9,0.2727272727272727,1,True,False,bert_only,"(0.8,1.0]","(0.2,0.4]",1
altricial,precocial,1,1,1,5,0.5555555555555556,0.5555555555555556,0,True,True,both,"(0.4,0.6]","(0.4,0.6]",0
altruism,egoism,1,1,1,5,0.625,0.2727272727272727,2,True,True,both,"(0.6,0.8]","(0.2,0.4]",2
amateur,recreational,0,0,1,10,0.8333333333333334,0.36363636363636365,5,True,False,bert_only,"(0.8,1.0]","(0.2,0.4]",3-5
ambiguous,precise,1,0,1,9,1.0,0.16666666666666666,2,False,True,dual_only,"(0.8,1.0]","(0,0.2]",2
ambiguous,specific,1,0,0,9,1.0,0.16666666666666666,1,False,False,neither,"(0.8,1.0]","(0,0.2]",1
ambiguous,unambiguous,1,1,0,2,0.18181818181818182,0.8888888888888888,2,True,False,bert_only,"(0,0.2]","(0.8,1.0]",2
ambivalent,certain,1,0,1,8,0.8,0.45454545454545453,3,False,True,dual_only,"(0.6,0.8]","(0.4,0.6]",3-5
ambo,pulpit,0,0,1,6,1.0,0.0,2,True,False,bert_only,"(0.8,1.0]",0,2
ambush,lurk,0,0,0,5,0.8333333333333334,0.1111111111111111,2,True,True,both,"(0.8,1.0]","(0,0.2]",2
amiable,friendly,0,0,0,6,0.75,0.2727272727272727,1,True,True,both,"(0.6,0.8]","(0.2,0.4]",1
amicable,friendly,0,0,0,6,0.75,0.25,0,True,True,both,"(0.6,0.8]","(0.2,0.4]",0
amicable,hostile,1,0,1,6,0.75,0.2727272727272727,1,False,True,dual_only,"(0.6,0.8]","(0.2,0.4]",1
amphibious,terrestrial,1,1,1,11,1.0,0.23076923076923078,1,True,True,both,"(0.8,1.0]","(0.2,0.4]",1
ample,small,1,0,1,3,0.6,0.5,0,False,True,dual_only,"(0.4,0.6]","(0.4,0.6]",0
anabolism,catabolism,1,1,1,2,0.2,0.7,1,True,True,both,"(0,0.2]","(0.6,0.8]",1
anaerobic,aerobic,1,1,1,2,0.2222222222222222,0.875,2,True,True,both,"(0.2,0.4]","(0.8,1.0]",2
analogous,opposite,1,1,1,8,0.8888888888888888,0.18181818181818182,1,True,True,both,"(0.8,1.0]","(0,0.2]",1
analogous,parallel,0,0,1,7,0.7777777777777778,0.2,1,True,False,bert_only,"(0.6,0.8]","(0,0.2]",1
analogy,contrast,1,0,1,7,0.875,0.3,1,False,True,dual_only,"(0.8,1.0]","(0.2,0.4]",1
analysis,psychoanalysis,0,0,0,6,0.42857142857142855,0.6,6,True,True,both,"(0.4,0.6]","(0.4,0.6]",6+
analytical,synthetical,1,1,1,5,0.45454545454545453,0.7,1,True,True,both,"(0.4,0.6]","(0.6,0.8]",1
analytic,synthetic,1,1,1,5,0.5555555555555556,0.5,1,True,True,both,"(0.4,0.6]","(0.4,0.6]",1
anaphora,cataphora,1,0,1,2,0.2222222222222222,0.625,1,False,True,dual_only,"(0.2,0.4]","(0.6,0.8]",1
anarchy,government,1,0,1,9,0.9,0.16666666666666666,3,False,True,dual_only,"(0.8,1.0]","(0,0.2]",3-5
ancestor,antecedent,0,0,1,6,0.6,0.5555555555555556,2,True,False,bert_only,"(0.4,0.6]","(0.4,0.6]",2
ancestor,descendant,1,1,1,8,0.8,0.6666666666666666,2,True,True,both,"(0.6,0.8]","(0.6,0.8]",2
ancient,future,1,0,1,7,1.0,0.2222222222222222,1,False,True,dual_only,"(0.8,1.0]","(0.2,0.4]",1
ancient,young,1,1,1,6,0.8571428571428571,0.1,2,True,True,both,"(0.8,1.0]","(0,0.2]",2
androgynous,female,1,1,1,11,1.0,0.07692307692307693,5,True,True,both,"(0.8,1.0]","(0,0.2]",3-5
androgynous,male,1,1,1,11,1.0,0.08333333333333333,7,True,True,both,"(0.8,1.0]","(0,0.2]",6+
anglican,english,0,1,1,4,0.5,0.4444444444444444,1,False,False,neither,"(0.4,0.6]","(0.4,0.6]",1
anglican,english,0,1,1,4,0.5,0.4444444444444444,1,False,False,neither,"(0.4,0.6]","(0.4,0.6]",1
anglican,english,0,1,1,4,0.5,0.4444444444444444,1,False,False,neither,"(0.4,0.6]","(0.4,0.6]",1
anglican,english,0,1,1,4,0.5,0.4444444444444444,1,False,False,neither,"(0.4,0.6]","(0.4,0.6]",1
angry,indignant,0,0,0,7,0.7777777777777778,0.375,4,True,True,both,"(0.6,0.8]","(0.2,0.4]",3-5
angry,red,0,0,0,5,1.0,0.14285714285714285,2,True,True,both,"(0.8,1.0]","(0,0.2]",2
angular,curved,1,0,0,7,1.0,0.2,1,False,False,neither,"(0.8,1.0]","(0,0.2]",1
animal,fauna,0,1,1,5,0.8333333333333334,0.2857142857142857,1,False,False,neither,"(0.8,1.0]","(0.2,0.4]",1
animated,lively,0,0,0,7,0.875,0.2,2,True,True,both,"(0.8,1.0]","(0,0.2]",2
anneal,toughen,0,0,1,7,1.0,0.2222222222222222,1,True,False,bert_only,"(0.8,1.0]","(0.2,0.4]",1
announce,make,0,0,0,7,0.875,0.25,4,True,True,both,"(0.8,1.0]","(0.2,0.4]",3-5
annoyance,irritation,0,1,0,9,0.9,0.3333333333333333,1,False,True,dual_only,"(0.8,1.0]","(0.2,0.4]",1
annual,perennial,1,1,1,5,0.5555555555555556,0.375,3,True,True,both,"(0.4,0.6]","(0.2,0.4]",3-5
annul,destroy,0,0,1,7,1.0,0.0,2,True,False,bert_only,"(0.8,1.0]",0,2
annul,repeal,0,0,0,5,0.8333333333333334,0.2857142857142857,1,True,True,both,"(0.8,1.0]","(0.2,0.4]",1
answer,enquiry,1,0,1,5,0.7142857142857143,0.3,1,False,True,dual_only,"(0.6,0.8]","(0.2,0.4]",1
answer,interrogation,1,0,1,11,0.8461538461538461,0.4,7,False,True,dual_only,"(0.8,1.0]","(0.2,0.4]",6+
answer,query,1,0,1,5,0.8333333333333334,0.2222222222222222,1,False,True,dual_only,"(0.8,1.0]","(0.2,0.4]",1
answer,reply,0,0,0,6,1.0,0.2222222222222222,1,True,True,both,"(0.8,1.0]","(0.2,0.4]",1
antagonistic,positive,1,1,1,9,0.75,0.36363636363636365,4,True,True,both,"(0.6,0.8]","(0.2,0.4]",3-5
antecedent,descendant,1,1,1,6,0.6,0.8571428571428571,0,True,True,both,"(0.4,0.6]","(0.8,1.0]",0
anterior,posterior,1,1,1,3,0.3333333333333333,0.5555555555555556,1,True,True,both,"(0.2,0.4]","(0.4,0.6]",1
anterior,subsequent,1,0,1,9,0.9,0.2727272727272727,2,False,True,dual_only,"(0.8,1.0]","(0.2,0.4]",2
antidote,poison,1,1,1,6,0.75,0.3333333333333333,2,True,True,both,"(0.6,0.8]","(0.2,0.4]",2
antinode,node,1,1,1,4,0.5,0.5714285714285714,4,True,True,both,"(0.4,0.6]","(0.4,0.6]",3-5
antique,old,0,0,0,7,1.0,0.0,4,True,True,both,"(0.8,1.0]",0,3-5
antitrust,unfair,1,0,0,7,0.7777777777777778,0.625,3,False,False,neither,"(0.6,0.8]","(0.6,0.8]",3-5
antonym,synonym,1,0,1,3,0.42857142857142855,0.5714285714285714,0,False,True,dual_only,"(0.4,0.6]","(0.4,0.6]",0
anxious,distressed,0,0,0,9,0.9,0.18181818181818182,3,True,True,both,"(0.8,1.0]","(0,0.2]",3-5
anxious,uneasy,0,0,0,6,0.8571428571428571,0.4444444444444444,1,True,True,both,"(0.8,1.0]","(0.4,0.6]",1
apology,justification,0,0,0,13,1.0,0.14285714285714285,6,True,True,both,"(0.8,1.0]","(0,0.2]",6+
apparel,costume,0,0,0,7,1.0,0.09090909090909091,0,True,True,both,"(0.8,1.0]","(0,0.2]",0
appeal,attract,0,0,0,5,0.7142857142857143,0.14285714285714285,1,True,True,both,"(0.6,0.8]","(0,0.2]",1
appearance,disappearance,1,1,1,3,0.23076923076923078,0.6666666666666666,3,True,True,both,"(0.2,0.4]","(0.6,0.8]",3-5
apply,relieve,1,1,1,7,1.0,0.125,2,True,True,both,"(0.8,1.0]","(0,0.2]",2
appoggiatura,acciaccatura,0,1,1,6,0.5,0.5555555555555556,0,False,False,neither,"(0.4,0.6]","(0.4,0.6]",0
appreciate,depreciate,1,0,1,2,0.2,0.875,0,False,True,dual_only,"(0,0.2]","(0.8,1.0]",0
apprehend,understand,0,0,0,7,0.7,0.5,1,True,True,both,"(0.6,0.8]","(0.4,0.6]",1
approach,avoid,1,1,0,6,0.75,0.2222222222222222,3,True,False,bert_only,"(0.6,0.8]","(0.2,0.4]",3-5
approbation,condemnation,1,1,1,7,0.5833333333333334,0.4166666666666667,1,True,True,both,"(0.4,0.6]","(0.4,0.6]",1
appropriate,earmark,0,0,0,9,0.8181818181818182,0.3333333333333333,4,True,True,both,"(0.8,1.0]","(0.2,0.4]",3-5
approval,sanction,0,0,0,8,1.0,0.18181818181818182,0,True,True,both,"(0.8,1.0]","(0,0.2]",0
approve,commend,0,0,0,7,1.0,0.2,0,True,True,both,"(0.8,1.0]","(0,0.2]",0
arbitrary,tyrannical,0,0,0,9,0.9,0.5555555555555556,1,True,True,both,"(0.8,1.0]","(0.4,0.6]",1
archaeological,archeological,0,1,0,1,0.07142857142857142,1.0,1,False,True,dual_only,"(0,0.2]","(0.8,1.0]",1
archaic,late,1,0,0,6,0.8571428571428571,0.125,3,False,False,neither,"(0.8,1.0]","(0,0.2]",3-5
argent,white,0,0,1,6,1.0,0.2222222222222222,1,True,False,bert_only,"(0.8,1.0]","(0.2,0.4]",1
arise,fall,1,1,1,5,1.0,0.14285714285714285,1,True,True,both,"(0.8,1.0]","(0,0.2]",1
arise,rebel,0,1,1,4,0.8,0.2857142857142857,0,False,False,neither,"(0.6,0.8]","(0.2,0.4]",0
arise,retire,1,1,1,4,0.6666666666666666,0.5,1,True,True,both,"(0.6,0.8]","(0.4,0.6]",1
aristocratic,gentle,0,0,0,11,0.9166666666666666,0.09090909090909091,6,True,True,both,"(0.8,1.0]","(0,0.2]",6+
arithmetic,geometric,1,0,1,6,0.6,0.6,1,False,True,dual_only,"(0.4,0.6]","(0.4,0.6]",1
arm,disarm,1,0,1,3,0.5,0.5,3,False,True,dual_only,"(0.4,0.6]","(0.4,0.6]",3-5
array,dress,0,0,0,4,0.8,0.16666666666666666,0,True,True,both,"(0.6,0.8]","(0,0.2]",0
arrest,obstruct,0,0,0,6,0.75,0.3333333333333333,2,True,True,both,"(0.6,0.8]","(0.2,0.4]",2
arrogant,condescending,1,0,1,12,0.9230769230769231,0.2727272727272727,5,False,True,dual_only,"(0.8,1.0]","(0.2,0.4]",3-5
arsis,thesis,1,0,1,3,0.5,0.2857142857142857,1,False,True,dual_only,"(0.4,0.6]","(0.2,0.4]",1
artificial,organic,1,0,1,7,0.7,0.4,3,False,True,dual_only,"(0.6,0.8]","(0.2,0.4]",3-5
artificial,theatrical,0,0,1,7,0.7,0.6666666666666666,0,True,False,bert_only,"(0.6,0.8]","(0.6,0.8]",0
artless,simple,0,0,0,6,0.8571428571428571,0.3333333333333333,1,True,True,both,"(0.8,1.0]","(0.2,0.4]",1
